Reference,Value,Datasheet,Footprint,Qty,DNP
C1,10nF,~,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,1,
C2,3-30pF,~,LocalFP:BFC280811339_VIS,1,
"C3,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32",100nF,~,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,23,
C4,470pF,~,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,1,
C5,100n,~,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,1,
C6,110pF,~,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,1,
C7,2200uF,~,Capacitor_THT:CP_Radial_D16.0mm_P7.50mm,1,
C8,1000uF,~,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,
"C9,C33",100uF,~,"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",2,
C10,47uF,~,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,1,
"D1,D5",1N914,http://www.vishay.com/docs/85622/1n914.pdf,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,2,
D2,PULSE,~,LED_THT:LED_D5.0mm,1,
D3,POWER,~,LED_THT:LED_D5.0mm,1,
D4,1N4001,http://www.vishay.com/docs/88503/1n4001.pdf,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1,
"H1,H2,H3,H4",MountingHole,~,MountingHole:MountingHole_3.2mm_M3,4,
J1,Expansion Port,~,LocalFP:PinHeader_2x20_P2.54mm_Vertical,1,
J2,Keyboard,~,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,1,
J3,User Port,~,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,1,
J4,Spare,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,
J5,Tape In,~,LocalFP:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles,1,
J6,Audio,,LocalFP:SWITCHCRAFT_PJRAN1X1U04X,1,
J7,Tape Out,~,LocalFP:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles,1,
J8,Speaker,~,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,
J9,Conn_01x02,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,
J10,Video,,LocalFP:SWITCHCRAFT_PJRAN1X1U04X,1,
J11,Power 9V DC,~,Connector_BarrelJack:BarrelJack_Horizontal,1,
J12,Conn_01x04_Pin,~,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,
J15,Conn_01x03_Pin,~,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,
L1,18uH,~,Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,1,
Q1,2N3904,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,Package_TO_SOT_THT:TO-92_Wide,1,
Q2,2N3907/2N2907/2N2222a,https://www.onsemi.com/pub/Collateral/2N3906-D.PDF,Package_TO_SOT_THT:TO-92_Wide,1,
"R1,R2,R3",15K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,
"R4,R5,R18",390,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,
"R6,R11,R17",120K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,
R7,47K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
"R8,R10",1M,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,
R9,1K2,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
"R12,R14",22K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,
"R13,R27,R31",4.7K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,
"R15,R22",1.2K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,
R16,8K2,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R19,2.7K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R20,180,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R21,1.5K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R23,5.6K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
"R24,R26,R29,R34",2.2K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,
R25,68,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
"R28,R39,R40,R41,R42,R44",1K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,
"R30,RV1",10K,~,"Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",2,
R32,680,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R33,2K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R35,30,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R36,470,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R37,75,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R38,200,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
"R43,R45",18,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,
SW1,3,~,LocalFP:SW_PUSH-12mm,1,
SW2,7,~,LocalFP:SW_PUSH-12mm,1,
SW3,B,~,LocalFP:SW_PUSH-12mm,1,
SW4,F,~,LocalFP:SW_PUSH-12mm,1,
SW5,2,~,LocalFP:SW_PUSH-12mm,1,
SW6,6,~,LocalFP:SW_PUSH-12mm,1,
SW7,A,~,LocalFP:SW_PUSH-12mm,1,
SW8,E,~,LocalFP:SW_PUSH-12mm,1,
SW9,1,~,LocalFP:SW_PUSH-12mm,1,
SW10,5,~,LocalFP:SW_PUSH-12mm,1,
SW11,9,~,LocalFP:SW_PUSH-12mm,1,
SW12,D,~,LocalFP:SW_PUSH-12mm,1,
SW13,0,~,LocalFP:SW_PUSH-12mm,1,
SW14,4,~,LocalFP:SW_PUSH-12mm,1,
SW15,8,~,LocalFP:SW_PUSH-12mm,1,
SW16,C,~,LocalFP:SW_PUSH-12mm,1,
"SW17,SW18",STEP,~,LocalFP:SW_PUSH-12mm,2,
SW19,RESET,~,LocalFP:SW_PUSH-12mm,1,
SW20,SPARE,~,LocalFP:SW_PUSH-12mm,1,
SW21,Switch,~,Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,
U1,7400,http://www.ti.com/lit/gpn/sn7400,Package_DIP:DIP-14_W7.62mm,1,
U2,74LS90,http://www.ti.com/lit/gpn/sn74LS90,Package_DIP:DIP-14_W7.62mm,1,
U3,CDP1802ACE,http://www.cosmacelf.com/publications/data-sheets/cdp1802.pdf,Package_DIP:DIP-40_W15.24mm,1,
U4,6821,http://pdf.datasheetcatalog.com/datasheet/motorola/6821.pdf,Package_DIP:DIP-40_W15.24mm,1,
U5,74HC14,http://www.ti.com/lit/gpn/sn74HC14,Package_DIP:DIP-14_W7.62mm,1,
U6,74LS75,http://www.ti.com/lit/gpn/sn74LS75,Package_DIP:DIP-16_W7.62mm,1,
U7,74LS138,http://www.ti.com/lit/gpn/sn74LS138,Package_DIP:DIP-16_W7.62mm,1,
U8,400,https://archive.org/download/1kx4_Static_RAM_2114/1kx4_Static_RAM_2114.pdf,Package_DIP:DIP-18_W7.62mm,1,
U9,07FF,https://archive.org/download/1kx4_Static_RAM_2114/1kx4_Static_RAM_2114.pdf,Package_DIP:DIP-18_W7.62mm,1,
U10,800,https://archive.org/download/1kx4_Static_RAM_2114/1kx4_Static_RAM_2114.pdf,Package_DIP:DIP-18_W7.62mm,1,
U11,OBFF,https://archive.org/download/1kx4_Static_RAM_2114/1kx4_Static_RAM_2114.pdf,Package_DIP:DIP-18_W7.62mm,1,
U12,0C00,https://archive.org/download/1kx4_Static_RAM_2114/1kx4_Static_RAM_2114.pdf,Package_DIP:DIP-18_W7.62mm,1,
U13,0FFF,https://archive.org/download/1kx4_Static_RAM_2114/1kx4_Static_RAM_2114.pdf,Package_DIP:DIP-18_W7.62mm,1,
U14,2716,,Package_DIP:DIP-24_W15.24mm,1,
